"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence Annexe au Règlement d’exécution 2024/2690 (1)";"Contenu Annexe au Règlement d’exécution 2024/2690 (1)";"Référence Annexe au Règlement d’exécution 2024/2690 (2)";"Contenu Annexe au Règlement d’exécution 2024/2690 (2)";"Référence Annexe au Règlement d’exécution 2024/2690 (3)";"Contenu Annexe au Règlement d’exécution 2024/2690 (3)";"Référence Annexe au Règlement d’exécution 2024/2690 (4)";"Contenu Annexe au Règlement d’exécution 2024/2690 (4)";"Référence Annexe au Règlement d’exécution 2024/2690 (5)";"Contenu Annexe au Règlement d’exécution 2024/2690 (5)";"Référence Annexe au Règlement d’exécution 2024/2690 (6)";"Contenu Annexe au Règlement d’exécution 2024/2690 (6)"
"9.7-EI/EE";"L’entité procède à l’analyse des données provenant de sources externes lors de leur réception, pour y rechercher des codes malveillants, à l’exception de données de mise à jour fournies par les éditeurs et dont l’authenticité et l’intégrité sont vérifiées (par exemple : une passerelle mail analysant les pièces jointes avant distribution, un SAS de décontamination antivirale pour les clefs USB).";"Objectif de sécurité 9: Protection des systèmes d'information contre les codes malveillants";"Protection contre les codes malveillants";"EntiteImportante, EntiteEssentielle";"élevé";;"6.9.1";"Les entités concernées protègent leurs réseaux et systèmes d’information contre les logiciels malveillants ou non autorisés.";"6.9.2";"À cette fin, les entités concernées mettent notamment en œuvre des mesures qui permettent de détecter ou d’empêcher l’utilisation de logiciels malveillants ou non autorisés. Les entités concernées veillent, s’il est besoin, à ce que leurs réseaux et systèmes d’information soient équipés de logiciels de détection et de réponse régulièrement mis à jour selon l’évaluation des risques effectuée conformément au point 2.1 et aux accords contractuels conclus avec les fournisseurs.";"12.3.2";"Cette politique:
a) prévoit une interdiction technique de connecter des supports amovibles, à moins que leur utilisation ne soit justifiée par une raison d’organisation;
b) prévoit le blocage de l’autoexécution à partir de ces supports et la détection de codes malveillants dans les supports avant qu’ils ne soient utilisés sur les systèmes des entités concernées;
c) prévoit des mesures de contrôle et de protection des dispositifs de stockage portables contenant des données pendant le transit et le stockage;
d) s’il est besoin, prévoit des mesures pour l’utilisation de techniques cryptographiques pour protéger les données sur les supports de stockage amovibles.";;;;;;
"10.A.1-EI/EE";"Les utilisateurs et les processus automatiques accédant aux ressources des systèmes d’information de l’entité disposent de comptes individuels. Les utilisateurs peuvent, le cas échéant, disposer de plusieurs comptes individuels.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";;"11.5.2";"À cette fin, les entités concernées:
a) mettent en place des identités uniques pour les réseaux et les systèmes d’information et leurs utilisateurs;
b) lient l’identité des utilisateurs à une seule personne;
c) assurent la supervision des identités des réseaux et des systèmes d’information;
d) appliquent la journalisation à la gestion des identités.";;;;;;;;;;
"10.A.2-EI/EE";"L’emploi d’un compte individuel du système d’information est réservé à l’utilisateur ou au processus automatique auquel ce compte a été attribué.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";;"11.5.2";"À cette fin, les entités concernées:
a) mettent en place des identités uniques pour les réseaux et les systèmes d’information et leurs utilisateurs;
b) lient l’identité des utilisateurs à une seule personne;
c) assurent la supervision des identités des réseaux et des systèmes d’information;
d) appliquent la journalisation à la gestion des identités.";;;;;;;;;;
"10.A.3-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas de créer de comptes individuels pour les utilisateurs ou pour les processus automatiques, l’entité met en place des mesures permettant de réduire le risque lié à l'utilisation de comptes partagés et d'assurer la traçabilité de l'utilisation de ces comptes (par exemple : carnet de quart dans une salle de supervision, badgeuse à l’entrée de la salle).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";;"11.5.3";"Les entités concernées n’autorisent l’attribution d’identités à plusieurs personnes, pouvant prendre la forme d'identités partagées, que lorsqu’elle est nécessaire pour des raisons commerciales ou opérationnelles et qu’elle fait l’objet d’une procédure d’approbation explicite et d’une documentation. Les entités concernées tiennent compte des identités attribuées à plusieurs personnes dans le cadre de gestion des risques de cybersécurité visé au point 2.1.";;;;;;;;;;
"10.A.4-EI/EE";"Lorsqu'un système d’information est utilisé pour diffuser de l'information au public, l’entité n'est pas tenue de créer de comptes pour l'accès du public à cette information (par exemple : l’accès à un site vitrine ne nécessite pas d’authentifier les visiteurs alors que l’accès à l’intranet doit authentifier les utilisateurs).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"faible";"Le règlement d'exécution prévoit de nombreuses mesures sur la gestion des identités et des accès mais ne rentre pas dans le détail quant à l'exemption des entités de créer des comptes pour les systèmes d'information utilisés pour publier de l'information.";;;;;;;;;;;;
"10.A.5-EI/EE";"L’entité désactive les comptes qui ne sont plus nécessaires dans les délais prévus par sa politique de gestion des comptes (par exemple : sous 7 jours).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";"Le règlement d'exécution prévoit bien la désactivation des identités qui ne sont plus nécessaires mais le référentiel NIS 2 ajoute une précision sur le délai de désactivation établi dans la politique de gestion des comptes.";"11.5.4";"Les entités concernées réexaminent régulièrement les identités des réseaux et systèmes d’information et de leurs utilisateurs et, si elles ne sont plus nécessaires, les désactivent sans délai.";;;;;;;;;;
"10.A.6-EI/EE";"L’entité effectue périodiquement, au moins annuellement, une revue des comptes. Cette revue doit notamment vérifier le respect des présentes mesures relatives à l'identification et, le cas échéant, corriger les anomalies.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Identification";"EntiteImportante, EntiteEssentielle";"élevé";;"11.5.4";"Les entités concernées réexaminent régulièrement les identités des réseaux et systèmes d’information et de leurs utilisateurs et, si elles ne sont plus nécessaires, les désactivent sans délai.";;;;;;;;;;
"10.B.1-EI/EE";"L’entité protège les accès des utilisateurs et processus automatiques aux ressources de ses systèmes d’information au moyen d'un mécanisme d'authentification impliquant au moins un élément secret (par exemple : un mécanisme d’authentification mono-facteur tel qu’un mot de passe, ou multi-facteur, tel qu’une carte à puce avec code PIN).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"11.7.1";"Les entités concernées veillent à ce que les utilisateurs soient authentifiés par des facteurs d’authentification multiples ou des mécanismes d’authentification continue pour accéder aux réseaux et aux systèmes d’information des entités concernées, le cas échéant, conformément à la classification de l’actif à consulter.";"11.7.2";"Les entités concernées veillent à ce que la force de l’authentification soit adaptée à la classification de l’actif auquel accéder.";;;;;;;;
"10.B.2-EI/EE";"L’entité change les éléments secrets configurés par défaut, avant la mise en service d’une ressource. À cet effet, l’entité s'assure auprès du fabricant ou du fournisseur de la ressource qu'elle dispose des moyens et des droits permettant d’effectuer ces changements.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"moyen";"Le règlement d'exécution liste diverses règles d'authentification à mettre en place par les entités, notamment la modification des identifiants dès le départ. Le référentiel NIS 2 exige que l'entité s'assure de pouvoir effectuer ces changements auprès des tiers concernés (fabricant, fournisseur).";"11.6.2";"À cette fin, les entités concernées:
a) veillent à ce que la force de l’authentification soit adaptée à la classification de l’actif auquel accéder;
b) contrôlent l’attribution aux utilisateurs et la gestion des informations secrètes relatives à l’authentification par une procédure garantissant la confidentialité des informations, y compris en conseillant le personnel sur le traitement approprié des informations d’authentification;
c) exigent la modification des identifiants d’authentification dès le départ, à des intervalles prédéfinis et en cas de soupçon de compromission des identifiants;
d) exigent la réinitialisation des identifiants d’authentification et le blocage des utilisateurs après un nombre prédéfini de tentatives de connexion infructueuses;
e) mettent un terme aux sessions inactives après une période d’inactivité prédéfinie; et
f) exigent des identifiants distincts pour obtenir un accès privilégié ou accéder à des comptes d’administration.";;;;;;;;;;
"10.B.3-EI/EE";"L’élément secret d'un compte partagé est renouvelé à chaque retrait d'un utilisateur de ce compte.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"faible";"Le règlement d'exécution ne précise pas la fréquence ou les occasions auxquelles doit être modifié l'élément secret d'un compte partagé.";;;;;;;;;;;;
"10.B.4-EI/EE";"L’élément secret d’un compte n’est connu, que des utilisateurs autorisés à utiliser le compte (par exemple : les mots de passe des comptes partagés peuvent être stockés dans un coffre-fort de mots de passe).";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"11.6.1";"Les entités concernées mettent en œuvre des procédures et des technologies d’authentification sécurisées fondées sur des restrictions d’accès et la politique de contrôle d’accès.";"11.6.2";"À cette fin, les entités concernées:
a) veillent à ce que la force de l’authentification soit adaptée à la classification de l’actif auquel accéder;
b) contrôlent l’attribution aux utilisateurs et la gestion des informations secrètes relatives à l’authentification par une procédure garantissant la confidentialité des informations, y compris en conseillant le personnel sur le traitement approprié des informations d’authentification;
c) exigent la modification des identifiants d’authentification dès le départ, à des intervalles prédéfinis et en cas de soupçon de compromission des identifiants;
d) exigent la réinitialisation des identifiants d’authentification et le blocage des utilisateurs après un nombre prédéfini de tentatives de connexion infructueuses;
e) mettent un terme aux sessions inactives après une période d’inactivité prédéfinie; et
f) exigent des identifiants distincts pour obtenir un accès privilégié ou accéder à des comptes d’administration.";;;;;;;;
"10.B.5-EI/EE";"Les facteurs d’authentification sont conformes aux recommandations de l’autorité nationale de sécurité des systèmes d’information en matière de complexité, en tenant compte du niveau de complexité maximal permis par la ressource concernée, et en matière de fréquence de renouvellement.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";"Le règlement d'exécution prévoit des mesures de sécurisation des facteurs d'authentification, mais le référentiel NIS 2 va au-delà en prévoyant que les mécanismes d'authentification mis en œuvre respectent les recommandations de l'ANSSI.";"11.6.2";"À cette fin, les entités concernées:
a) veillent à ce que la force de l’authentification soit adaptée à la classification de l’actif auquel accéder;
b) contrôlent l’attribution aux utilisateurs et la gestion des informations secrètes relatives à l’authentification par une procédure garantissant la confidentialité des informations, y compris en conseillant le personnel sur le traitement approprié des informations d’authentification;
c) exigent la modification des identifiants d’authentification dès le départ, à des intervalles prédéfinis et en cas de soupçon de compromission des identifiants;
d) exigent la réinitialisation des identifiants d’authentification et le blocage des utilisateurs après un nombre prédéfini de tentatives de connexion infructueuses;
e) mettent un terme aux sessions inactives après une période d’inactivité prédéfinie; et
f) exigent des identifiants distincts pour obtenir un accès privilégié ou accéder à des comptes d’administration.";"11.6.3";"Les entités concernées utilisent, dans la mesure du possible, les méthodes d’authentification les plus récentes, en fonction du risque associé évalué et de la classification de l’actif auquel accéder, ainsi que des informations d’authentification uniques.";"11.6.4";"Les entités concernées réexaminent les procédures et technologies d’authentification à intervalles prédéfinis.";;;;;;
"10.B.6-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas de modifier l'élément secret, l’entité met en œuvre un contrôle d'accès approprié à la ressource concernée ainsi que des mesures de réduction du risque lié à l'utilisation d'un élément secret d'authentification fixe.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteImportante, EntiteEssentielle";"élevé";;"2.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, les entités concernées établissent et maintiennent un cadre approprié pour la gestion des risques afin d'identifier les risques pour la sécurité des réseaux et des systèmes d’information et d’y apporter une réponse. Les entités concernées réalisent des évaluations des risques, qu’elles consignent, et, sur la base des résultats obtenus, elles établissent, mettent en œuvre et suivent un plan de traitement des risques. Les résultats de l’évaluation des risques et les risques résiduels sont approuvés par les organes de direction ou, s’il y a lieu, par des personnes qui sont tenues de rendre des comptes et sont habilitées à gérer les risques, à condition que les entités concernées fassent rapport de manière adéquate aux organes de direction.";"2.1.2";"Aux fins du point 2.1.1, les entités concernées établissent des procédures d’identification, d’analyse, d’évaluation et de traitement des risques (ci-après la «procédure de gestion des risques de cybersécurité»). La procédure de gestion des risques de cybersécurité fait partie intégrante de la procédure globale de gestion des risques des entités concernées, s’il y a lieu. Dans le cadre de la procédure de gestion des risques de cybersécurité, les entités concernées:
a) suivent une méthodologie de gestion des risques;
b) établissent le niveau de tolérance au risque en fonction de leur propension au risque;
c) définissent et maintiennent les critères de risque pertinents;
d) en suivant une approche «tous risques», identifient et consignent les risques pour la sécurité des réseaux et des systèmes d’information, en particulier en ce qui concerne les tiers et les risques susceptibles de perturber la disponibilité, l’intégrité, l’authenticité et la confidentialité des réseaux et des systèmes d’information, y compris l’identification de points uniques de défaillance;
e) analysent les risques qui pèsent sur la sécurité des réseaux et des systèmes d’information, y compris la menace, la probabilité, l’impact et le niveau de risque, en tenant compte des renseignements sur les cybermenaces et des vulnérabilités;
f) évaluent les risques identifiés en se fondant sur les critères de risque;
g) déterminent et hiérarchisent les options et les mesures qu’il convient d’appliquer en matière de traitement des risques;
h) suivent en continu la mise en œuvre des mesures de traitement du risque;
i) déterminent qui est responsable de la mise en œuvre des mesures de traitement des risques et quand celles-ci devraient être mises en œuvre;
j) consignent de manière compréhensible dans un plan de traitement des risques les mesures de traitement des risques choisies et les raisons justifiant l’acceptation des risques résiduels.";;;;;;;;
"10.B.7-EE";"Dans le cadre de cette exception, l’entité met également en œuvre des mesures de sécurité permettant d'assurer la traçabilité des accès.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Authentification";"EntiteEssentielle";"moyen";"Le règlement d'exécution prévoit plusieurs mesures de gestion des risques, mais ne précise pas que, dans le cas où l'élément secret d'un compte ne pourrait pas être modifié, la traçabilité des accès à celui-ci doit être assurée.";"2.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, les entités concernées établissent et maintiennent un cadre approprié pour la gestion des risques afin d'identifier les risques pour la sécurité des réseaux et des systèmes d’information et d’y apporter une réponse. Les entités concernées réalisent des évaluations des risques, qu’elles consignent, et, sur la base des résultats obtenus, elles établissent, mettent en œuvre et suivent un plan de traitement des risques. Les résultats de l’évaluation des risques et les risques résiduels sont approuvés par les organes de direction ou, s’il y a lieu, par des personnes qui sont tenues de rendre des comptes et sont habilitées à gérer les risques, à condition que les entités concernées fassent rapport de manière adéquate aux organes de direction.";"2.1.2";"Aux fins du point 2.1.1, les entités concernées établissent des procédures d’identification, d’analyse, d’évaluation et de traitement des risques (ci-après la «procédure de gestion des risques de cybersécurité»). La procédure de gestion des risques de cybersécurité fait partie intégrante de la procédure globale de gestion des risques des entités concernées, s’il y a lieu. Dans le cadre de la procédure de gestion des risques de cybersécurité, les entités concernées:
a) suivent une méthodologie de gestion des risques;
b) établissent le niveau de tolérance au risque en fonction de leur propension au risque;
c) définissent et maintiennent les critères de risque pertinents;
d) en suivant une approche «tous risques», identifient et consignent les risques pour la sécurité des réseaux et des systèmes d’information, en particulier en ce qui concerne les tiers et les risques susceptibles de perturber la disponibilité, l’intégrité, l’authenticité et la confidentialité des réseaux et des systèmes d’information, y compris l’identification de points uniques de défaillance;
e) analysent les risques qui pèsent sur la sécurité des réseaux et des systèmes d’information, y compris la menace, la probabilité, l’impact et le niveau de risque, en tenant compte des renseignements sur les cybermenaces et des vulnérabilités;
f) évaluent les risques identifiés en se fondant sur les critères de risque;
g) déterminent et hiérarchisent les options et les mesures qu’il convient d’appliquer en matière de traitement des risques;
h) suivent en continu la mise en œuvre des mesures de traitement du risque;
i) déterminent qui est responsable de la mise en œuvre des mesures de traitement des risques et quand celles-ci devraient être mises en œuvre;
j) consignent de manière compréhensible dans un plan de traitement des risques les mesures de traitement des risques choisies et les raisons justifiant l’acceptation des risques résiduels.";;;;;;;;
"10.C.1-EI/EE";"L’entité n’attribue des droits qu’aux utilisateurs et processus automatiques authentifiés.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"11.1.2";"Les politiques visées au point 11.1.1:
a) couvrent l’accès par les personnes, y compris le personnel, les visiteurs et les entités externes telles que les fournisseurs et les prestataires de services;
b) couvrent l’accès par les réseaux et les systèmes d’information;
c) garantissent que l’accès ne soit accordé qu’aux utilisateurs dûment authentifiés.";;;;;;;;;;
"10.C.2-EI/EE";"Pour chaque utilisateur ou chaque processus automatique, l’entité n'attribue les droits d'accès qu’aux seules ressources nécessaires à la réalisation des activités et services de l’entité ou au maintien en condition opérationnelle ou de sécurité.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"11.2.2";"Les entités concernées:
a) accordent et révoquent les droits d’accès sur la base des principes du besoin d’en connaître, du moindre privilège et de la séparation des fonctions;
b) veillent à ce que les droits d’accès soient modifiés en conséquence en cas de cessation ou de changement d’emploi;
c) veillent à ce que l’accès aux réseaux et aux systèmes d’information soit autorisé par les personnes concernées;
d) veillent à ce que les droits d’accès couvrent adéquatement l’accès des tiers, tels que les visiteurs, les fournisseurs et les prestataires de services, notamment en limitant le champ d’application et la durée des droits d’accès;
e) tiennent un registre des droits d’accès accordés;
f) appliquent la journalisation à la gestion des droits d’accès.";;;;;;;;;;
"10.C.3-EI/EE";"Pour chaque ressource du système d’information, l’entité n’attribue les droits d’accès qu’aux seuls utilisateurs et processus automatiques justifiant d’un besoin au regard de leurs missions.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"11.2.2";"Les entités concernées:
a) accordent et révoquent les droits d’accès sur la base des principes du besoin d’en connaître, du moindre privilège et de la séparation des fonctions;
b) veillent à ce que les droits d’accès soient modifiés en conséquence en cas de cessation ou de changement d’emploi;
c) veillent à ce que l’accès aux réseaux et aux systèmes d’information soit autorisé par les personnes concernées;
d) veillent à ce que les droits d’accès couvrent adéquatement l’accès des tiers, tels que les visiteurs, les fournisseurs et les prestataires de services, notamment en limitant le champ d’application et la durée des droits d’accès;
e) tiennent un registre des droits d’accès accordés;
f) appliquent la journalisation à la gestion des droits d’accès.";;;;;;;;;;
"10.C.4-EI/EE";"L’entité effectue périodiquement, au moins annuellement, une revue des droits d’accès. Cette revue doit notamment vérifier le respect des présentes mesures relatives au droit d’accès et, le cas échéant, corriger les anomalies.";"Objectif de sécurité 10: Gestion des identités et des accès des utilisateurs aux systèmes d'information";"Droits d'accès";"EntiteImportante, EntiteEssentielle";"élevé";;"11.2.1";"Les entités concernées fournissent, modifient, suppriment et documentent les droits d’accès aux réseaux et aux systèmes d’information conformément à la politique de contrôle d’accès visée au point 11.1.";"11.2.2";"Les entités concernées:
a) accordent et révoquent les droits d’accès sur la base des principes du besoin d’en connaître, du moindre privilège et de la séparation des fonctions;
b) veillent à ce que les droits d’accès soient modifiés en conséquence en cas de cessation ou de changement d’emploi;
c) veillent à ce que l’accès aux réseaux et aux systèmes d’information soit autorisé par les personnes concernées;
d) veillent à ce que les droits d’accès couvrent adéquatement l’accès des tiers, tels que les visiteurs, les fournisseurs et les prestataires de services, notamment en limitant le champ d’application et la durée des droits d’accès;
e) tiennent un registre des droits d’accès accordés;
f) appliquent la journalisation à la gestion des droits d’accès.";"11.2.3";"Les entités concernées réexaminent les droits d’accès à intervalles prédéfinis et les modifient en fonction des changements organisationnels. Les entités concernées documentent les résultats du réexamen, y compris les modifications nécessaires des droits d’accès.";;;;;;
"11.A.1-EI/EE";"Les actions d'administration sont effectuées exclusivement à partir de comptes d'administration et les comptes d'administration sont utilisés exclusivement pour les actions d'administration.
Par exemple : le compte d’administration d’un poste utilisateur est utilisé exclusivement pour l’administration de ce poste. L’utilisateur de ce poste dispose d’un compte bureautique non administrateur pour son utilisation quotidienne.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"11.3.2";"Les politiques visées au point 11.3.1:
a) établissent des procédures fortes d’identification, d’authentification (telles que l’authentification multifactorielle) et d’autorisation pour les comptes privilégiés et les comptes d’administration du système;
b) créent des comptes spécifiques à utiliser exclusivement pour les opérations d’administration du système, telles que l’installation, la configuration, la gestion ou la maintenance;
c) individualisent et restreignent autant que possible les privilèges d’administration du système,
d) prévoient que les comptes d’administration du système ne soient utilisés que pour se connecter aux systèmes d’administration du système.";;;;;;;;;;
"11.A.2-EI/EE";"Les comptes d’administration ne sont utilisés que par des administrateurs ou des personnes autorisées.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"faible";"Le règlement d'exécution aborde le sujet des comptes d'administration dédiés aux actions d'administration, mais ne précise pas que l'utilisation de ces derniers ne doit être possible que par les administrateurs ou personnes dument autorisées. ";;;;;;;;;;;;
"11.A.3-EI/EE";"Les comptes d’administration respectent les mesures relatives à la gestion des identités et des accès des utilisateurs aux systèmes d’information.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"11.3.2";"Les politiques visées au point 11.3.1:
a) établissent des procédures fortes d’identification, d’authentification (telles que l’authentification multifactorielle) et d’autorisation pour les comptes privilégiés et les comptes d’administration du système;
b) créent des comptes spécifiques à utiliser exclusivement pour les opérations d’administration du système, telles que l’installation, la configuration, la gestion ou la maintenance;
c) individualisent et restreignent autant que possible les privilèges d’administration du système,
d) prévoient que les comptes d’administration du système ne soient utilisés que pour se connecter aux systèmes d’administration du système.";"11.4.1";"Les entités concernées restreignent et contrôlent l’utilisation des systèmes d’administration du système conformément à la politique de contrôle d’accès visée au point 11.1.";;;;;;;;
"11.A.4-EE";"Un compte d'administration est utilisé exclusivement pour se connecter aux ressources que ce compte administre pour effectuer des actions d’administration, ou à une ressource d’administration (par exemple : le compte administrateur d’un routeur est utilisé depuis un poste d’administration ou sur le routeur pour l’administrer).";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteEssentielle";"élevé";;"11.3.2";"Les politiques visées au point 11.3.1:
a) établissent des procédures fortes d’identification, d’authentification (telles que l’authentification multifactorielle) et d’autorisation pour les comptes privilégiés et les comptes d’administration du système;
b) créent des comptes spécifiques à utiliser exclusivement pour les opérations d’administration du système, telles que l’installation, la configuration, la gestion ou la maintenance;
c) individualisent et restreignent autant que possible les privilèges d’administration du système,
d) prévoient que les comptes d’administration du système ne soient utilisés que pour se connecter aux systèmes d’administration du système.";;;;;;;;;;
"11.A.5-EI/EE";"Lorsque des raisons techniques ou opérationnelles ne permettent pas d’effectuer des actions d’administration à partir d'un compte d'administration, l’entité met en œuvre des mesures permettant d'assurer le contrôle de ces actions d'administration et des mesures de réduction du risque lié à l'utilisation d'un compte non dédié à l'administration.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteImportante, EntiteEssentielle";"élevé";;"2.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, les entités concernées établissent et maintiennent un cadre approprié pour la gestion des risques afin d'identifier les risques pour la sécurité des réseaux et des systèmes d’information et d’y apporter une réponse. Les entités concernées réalisent des évaluations des risques, qu’elles consignent, et, sur la base des résultats obtenus, elles établissent, mettent en œuvre et suivent un plan de traitement des risques. Les résultats de l’évaluation des risques et les risques résiduels sont approuvés par les organes de direction ou, s’il y a lieu, par des personnes qui sont tenues de rendre des comptes et sont habilitées à gérer les risques, à condition que les entités concernées fassent rapport de manière adéquate aux organes de direction.";"2.1.2";"Aux fins du point 2.1.1, les entités concernées établissent des procédures d’identification, d’analyse, d’évaluation et de traitement des risques (ci-après la «procédure de gestion des risques de cybersécurité»). La procédure de gestion des risques de cybersécurité fait partie intégrante de la procédure globale de gestion des risques des entités concernées, s’il y a lieu. Dans le cadre de la procédure de gestion des risques de cybersécurité, les entités concernées:
a) suivent une méthodologie de gestion des risques;
b) établissent le niveau de tolérance au risque en fonction de leur propension au risque;
c) définissent et maintiennent les critères de risque pertinents;
d) en suivant une approche «tous risques», identifient et consignent les risques pour la sécurité des réseaux et des systèmes d’information, en particulier en ce qui concerne les tiers et les risques susceptibles de perturber la disponibilité, l’intégrité, l’authenticité et la confidentialité des réseaux et des systèmes d’information, y compris l’identification de points uniques de défaillance;
e) analysent les risques qui pèsent sur la sécurité des réseaux et des systèmes d’information, y compris la menace, la probabilité, l’impact et le niveau de risque, en tenant compte des renseignements sur les cybermenaces et des vulnérabilités;
f) évaluent les risques identifiés en se fondant sur les critères de risque;
g) déterminent et hiérarchisent les options et les mesures qu’il convient d’appliquer en matière de traitement des risques;
h) suivent en continu la mise en œuvre des mesures de traitement du risque;
i) déterminent qui est responsable de la mise en œuvre des mesures de traitement des risques et quand celles-ci devraient être mises en œuvre;
j) consignent de manière compréhensible dans un plan de traitement des risques les mesures de traitement des risques choisies et les raisons justifiant l’acceptation des risques résiduels.";;;;;;;;
"11.A.6-EE";"L’entité établit et tient à jour la liste des comptes d'administration de ses systèmes d’information.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteEssentielle";"faible";"Le règlement d'exécution n'exige pas des entités la tenue d'un inventaire de leurs comptes d'administration.";;;;;;;;;;;;
"11.A.7-EE";"Lors de toute modification d'un compte d’administration (ajout, suppression, suspension ou modification des droits associés), l’entité vérifie que les droits d'accès aux ressources et fonctionnalités sont attribués en cohérence avec les besoins d'utilisation du compte.
En particulier, afin de limiter la portée des droits individuels, ils sont attribués à chaque compte d’administration en les restreignant autant que possible au périmètre fonctionnel et technique de ce dernier.
Pour ceci, il est recommandé d’octroyer les droits d’administration au travers des groupes dont les comptes d’administration sont membres.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Comptes d'administration";"EntiteEssentielle";"élevé";;"11.3.3";"Les entités concernées réexaminent les droits d’accès des comptes privilégiés et des comptes d’administration du système à intervalles prédéfinis et les modifient en fonction des changements organisationnels, et elles documentent les résultats du réexamen, y compris les modifications nécessaires des droits d’accès.";;;;;;;;;;
"11.B.1-EI/EE";"L’entité applique sans retard injustifié les correctifs de sécurité sur les annuaires gérant les utilisateurs ou les ressources de ses systèmes d’information.";"Objectif de sécurité 11: Maitrise de l'administration des systèmes d'information";"Sécurité des annuaires";"EntiteImportante, EntiteEssentielle";"moyen";"Le règlement d'exécution liste des règles de sécurité concernant l'application des correctifs de sécurité mais ne fait pas de précision sur les annuaires de sécurité. Sujet auquel le référentiel dédie un chapitre entier.";"6.6.1";"Les entités concernées précisent et appliquent des procédures compatibles avec les procédures de gestion des changements visées au point 6.4.1, ainsi qu’avec la gestion des vulnérabilités, la gestion des risques et d’autres procédures de gestion pertinentes, pour garantir que:
a) les correctifs de sécurité sont appliqués dans un délai raisonnable après leur mise à disposition;
b) les correctifs de sécurité sont testés avant d’être appliqués dans les systèmes de production;
c) les correctifs de sécurité proviennent de sources fiables et font l’objet d’un contrôle d’intégrité;
d) des mesures supplémentaires sont mises en œuvre et que les risques résiduels sont acceptés lorsqu’un correctif n’est pas disponible ou n’est pas appliqué conformément au point 6.6.2.";;;;;;;;;;
